id;sku;description;quantity;weight;volume
1;athwart supposing;towards;31226;15475.04;16674.23
2;aha after;till habit adventurously;14604;21846.22;9095.7
3;dimly;fathom blend gadzooks;5030;19687.68;25860.18
4;rosy;courageously fun wisely;18229;14751.68;144.18
5;er;idealistic extremely;30740;25473.83;31341.28
6;across pfft epic;westernize afore;18599;13471.34;17016.92
7;until;considering qua;29915;25787.41;11786.74
8;as who meanwhile;duh sniveling;4209;17074.74;11429.88
9;gosh;mobilise;4475;17542.92;24328.15
10;denitrify;ample;7638;10383.58;30225.97
