id;order_id;created_at;status
1;millet discontinue oof;2025-03-18T00:14:38;CREATED
2;foretell collectivization divers;2025-03-17T08:32:37;IN_TRANSIT
3;godfather outdo;2025-03-17T06:07:12;DELIVERED
4;questionable silently;2025-03-17T16:39:34;CREATED
5;boohoo flimsy;2025-03-17T21:53:06;IN_TRANSIT
6;but;2025-03-17T04:37:19;IN_TRANSIT
7;soupy;2025-03-17T23:00:03;IN_TRANSIT
8;afraid scarper;2025-03-17T23:44:18;IN_TRANSIT
9;lack er;2025-03-17T22:29:29;CREATED
10;solemnly;2025-03-18T01:00:01;DELIVERED
