id;sku;description;quantity;unit_price;total_price
1;when;merit rule phew;20356;10407.22;20221.4
2;likewise ethyl;in;23787;8328.77;9932.65
3;unless;busily upbeat brr;8655;17416.2;13727.73
4;than excepting;excellent fairly duh;31231;8776.74;27680.51
5;heartache;chow;15868;24714.42;28434.42
6;rejigger;supposing;6839;16617.26;30947.79
7;attraction whereas healthily;self-reliant outrun yearly;28695;20054.4;18010.23
8;happy;till;32451;25752.88;27593.15
9;procrastinate;meanwhile courageous;2614;32106.47;6429.07
10;or solicit beautifully;highly velocity tuxedo;15236;15792.03;10877.22
